n.i	ft	n.s	ns.rt	n.v	seed	ve.fr	ve.mu	ve.sd	ec	e0.p0	e0.p1	e1.p0	e1.p1	e2.p0	e2.p1	e3.p0	e3.p1	e4.p0	e4.p1	e5.p0	e5.p1	e6.p0	e6.p1	e7.p0	e7.p1
952	tck	 50	3	512	120	0.05	0	1	-1/2	0.0315	0.129	0.0273	0.128	0.0326	0.132	0.0336	0.137	0.0315	0.118	0.0420	0.114	0.0420	0.124	0.0462	0.120
952	tck	100	3	512	120	0.05	0	1	-1/2	0.0336	0.452	0.0336	0.444	0.0336	0.464	0.0368	0.464	0.0378	0.425	0.0368	0.400	0.0357	0.411	0.0420	0.377
952	tck	200	3	512	120	0.05	0	1	-1/2	0.0462	0.665	0.0494	0.664	0.0378	0.667	0.0399	0.699	0.0336	0.707	0.0389	0.686	0.0431	0.661	0.0504	0.561
952	tck	400	4	512	120	0.05	0	1	-1/2	0.0273	0.718	0.0284	0.693	0.0294	0.714	0.0284	0.731	0.0294	0.742	0.0326	0.741	0.0273	0.718	0.0347	0.641
617	tck	 50	3	512	120	0.05	0	1	+1/2	0.0324	0.136	0.0340	0.123	0.0324	0.126	0.0405	0.138	0.0308	0.133	0.0308	0.151	0.0438	0.146	0.0389	0.128
617	tck	100	3	512	120	0.05	0	1	+1/2	0.0324	0.431	0.0340	0.431	0.0340	0.444	0.0340	0.420	0.0340	0.405	0.0292	0.412	0.0405	0.407	0.0373	0.374
617	tck	200	3	512	120	0.05	0	1	+1/2	0.0486	0.676	0.0502	0.673	0.0438	0.679	0.0486	0.713	0.0405	0.720	0.0357	0.707	0.0454	0.666	0.0567	0.567
617	tck	400	4	512	120	0.05	0	1	+1/2	0.0276	0.710	0.0259	0.686	0.0308	0.715	0.0324	0.728	0.0292	0.744	0.0421	0.744	0.0292	0.726	0.0373	0.637
949	tck	 50	3	512	120	0.05	0	1	-2/3	0.0306	0.130	0.0285	0.120	0.0316	0.128	0.0337	0.134	0.0327	0.130	0.0316	0.125	0.0295	0.124	0.0306	0.115
949	tck	100	3	512	120	0.05	0	1	-2/3	0.0337	0.451	0.0379	0.444	0.0369	0.453	0.0390	0.459	0.0369	0.463	0.0337	0.436	0.0316	0.407	0.0327	0.411
949	tck	200	3	512	120	0.05	0	1	-2/3	0.0464	0.666	0.0432	0.647	0.0369	0.669	0.0453	0.692	0.0411	0.705	0.0421	0.713	0.0411	0.707	0.0379	0.699
949	tck	400	4	512	120	0.05	0	1	-2/3	0.0274	0.718	0.0242	0.694	0.0306	0.710	0.0285	0.726	0.0337	0.746	0.0285	0.752	0.0306	0.752	0.0327	0.748
952	tck	 50	3	512	120	0.05	0	1	-3/4	0.0315	0.129	0.0294	0.122	0.0326	0.126	0.0305	0.132	0.0347	0.130	0.0378	0.124	0.0420	0.120	0.0357	0.113
952	tck	100	3	512	120	0.05	0	1	-3/4	0.0336	0.452	0.0368	0.441	0.0368	0.449	0.0399	0.458	0.0368	0.457	0.0368	0.436	0.0305	0.424	0.0336	0.390
952	tck	200	3	512	120	0.05	0	1	-3/4	0.0462	0.665	0.0462	0.653	0.0420	0.670	0.0431	0.681	0.0347	0.683	0.0452	0.690	0.0357	0.687	0.0473	0.623
952	tck	400	4	512	120	0.05	0	1	-3/4	0.0273	0.718	0.0263	0.687	0.0273	0.709	0.0252	0.712	0.0263	0.727	0.0263	0.737	0.0294	0.714	0.0305	0.651
