"ft" "n.s" "ns.rt" "n.v" "seed" "ve.fr" "ve.mu" "ve.sd" "e0.p0" "e0.p1" "e1.p0" "e1.p1" "e2.p0" "e2.p1" "e3.p0" "e3.p1" "e4.p0" "e4.p1" "e5.p0" "e5.p1" "e6.p0" "e6.p1" "e7.p0" "e7.p1"
"1" "tck" 100 3 512 "NL" 0.05 0 1 0.281537322405226 0.0695851125783363 0.314894644516396 0.0734601485255674 0.302458322877885 0.0788244653646797 0.395669218110776 0.0400615104413954 0.498481040088932 0.0529011545824465 0.766568783117289 0.109640788057214 0.498641555998859 0.0414972213328021 0.271904941182777 0.169037075235019
"2" "tck" 100 3 512 "NL" 0.05 0 1 0.348285123523711 0.0118974047917685 0.37653349909399 0.00751302913884777 0.372928763183345 0.00756530503732566 0.396125104937941 0.0114125862600948 0.410209476667797 0.0331587713404674 0.288804081736469 0.0534140783715618 0.233512446253572 0.0224706540913374 0.0693478834941211 0.0263359106075048
"3" "tck" 100 3 512 "NL" 0.05 0 1 0.0437840555856086 0.100251765745299 0.027928159522426 0.103734598107028 0.0127666225984491 0.166421551561341 0.0724239727431822 0.301072919067936 0.261324106917245 0.270936863421715 0.203459665866379 0.278714472493504 0.189404346865593 0.245124725505941 0.0798982148450795 0.0197513452236001
"4" "tck" 100 3 512 "NL" 0.05 0 1 0.206646171455856 0.0531083275969692 0.225177928496009 0.0615478054500932 0.229053695915852 0.0490198253140448 0.264983846657777 0.0430945078295555 0.195279175203984 0.0390581222475412 0.0848382948845476 0.0465603104675429 0.0473143930728552 0.0252039368084997 0.713487482131191 0.232547168847427
"5" "tck" 100 3 512 "NL" 0.05 0 1 0.892148754341074 0.316329186232676 0.921433368666408 0.334870023515812 0.842583990528463 0.326430783856571 0.912187652923545 0.255925743151409 0.875455495731406 0.170816299035561 0.759916093034765 0.203988323311857 0.884876223322887 0.0238652382355807 0.765787579516216 0.950811971503015
"6" "tck" 100 3 512 "NL" 0.05 0 1 0.871114722210418 0.0600978070709898 0.773476736981716 0.0499368537234998 0.846365889423764 0.0559514092393111 0.836577968575735 0.0454744321633368 0.735766651536139 0.0450350892983785 0.819665861653351 0.0472484521656938 0.558951826800213 0.0333893377281809 0.488990652578667 0.0920114449765109
"7" "tck" 100 3 512 "NL" 0.05 0 1 0.528001917868966 1.42099729050216e-06 0.538662623745647 2.36009364562584e-06 0.479559283200227 2.84357884006159e-06 0.462891318909768 1.93974641082839e-06 0.480392077743377 2.45478715898972e-06 0.372012202944015 3.87529215817306e-06 0.108881543623975 3.13798573847723e-06 0.699989479160443 1.62710273251543e-05
"8" "tck" 100 3 512 "NL" 0.05 0 1 0.846950739442835 0.00136419301976731 0.789997832192568 0.00129623546188562 0.866145047013112 0.00101081947369219 0.802135122890651 0.00128973069702931 0.850148199618811 0.000662644155896785 0.949978252978709 0.00312711288143031 0.850783677391481 0.00224848929797095 0.570413670734418 0.0124990823219611
"9" "tck" 100 3 512 "NL" 0.05 0 1 0.29490410454995 0.0452004897558378 0.329920142379596 0.0385884651979399 0.318766522978101 0.0491729705217065 0.439443372388647 0.0433107810198174 0.498135526721481 0.0456398020013526 0.599562491291001 0.0667842025947765 0.559478516082552 0.0737142711942412 0.223187169151326 0.0577993523040325
"10" "tck" 100 3 512 "NL" 0.05 0 1 0.825750648087444 0.0313856243862675 0.867183583413697 0.0481557562239061 0.904800639289094 0.0528365832715285 0.862738719755255 0.0405633444728567 0.735412371237537 0.0305221536267756 0.69005256004918 0.0219674888069439 0.95726551325162 0.101634501369186 0.955058607888781 0.108286730663735
"11" "tck" 100 3 512 "NL" 0.05 0 1 0.0524413448214116 0.361247234496323 0.0568778383688053 0.422515689772685 0.0507573110410431 0.54962187602866 0.0489950327927063 0.351557205202436 0.0854030654848729 0.519255153024469 0.12300784767572 0.51145122877552 0.0885581471841512 0.390545597541982 0.122295981189293 0.354884209036023
"12" "tck" 100 3 512 "NL" 0.05 0 1 0.808177521448877 0.0567696285774965 0.911556784478018 0.0831808281713344 0.765709134571547 0.0519323899290853 0.860794221571737 0.0404609200397886 0.796848699387057 0.0413450779948881 0.791641178918863 0.121477620603004 0.816975803087777 0.111595646623551 0.635636672730556 0.218515659906386
"13" "tck" 100 3 512 "NL" 0.05 0 1 0.890665214869026 0.331026771835212 0.876373447281755 0.291779088907465 0.812412443278689 0.333239379926934 0.884981773209041 0.296845277211709 0.926223776440372 0.388031796864883 0.917171467658911 0.420948752383525 0.951860535770822 0.286543183284999 0.852537571248725 0.214214304692909
"14" "tck" 100 3 512 "NL" 0.05 0 1 0.267746622801242 0.028328066235473 0.290980786760335 0.0407114422922388 0.345875524125792 0.0298312353282532 0.274602388179344 0.027457182297925 0.220708850313312 0.0249226685140583 0.237474055055012 0.0804527315121966 0.320216340664402 0.0359319629292211 0.542242839214034 0.00633338247747317
"15" "tck" 100 3 512 "NL" 0.05 0 1 0.0285979443189363 0.0793831579645434 0.01622004660358 0.118618622160275 0.0115858809456451 0.0621783403864089 0.00693421951010009 0.0898554457139833 0.00403151831362991 0.145640776870739 0.00294321553473942 0.0756162774670912 0.00317607708352186 0.031692968841486 0.00371057094827631 0.0426886860679576
"16" "tck" 100 3 512 "NL" 0.05 0 1 0.620147151867044 0.000530856766965071 0.592872287569813 0.000605026783762619 0.540382553433115 0.00127542817076476 0.505382576422753 0.000357692125109277 0.554611070703468 0.00107806394086896 0.777464114043396 0.00100476344289402 0.672846538932289 0.000514847090633541 0.10482284483018 0.00361551120989412
"17" "tck" 100 3 512 "NL" 0.05 0 1 0.615681872084385 0.267255508566558 0.648018177217881 0.406668721682792 0.572393760889152 0.376176068598025 0.590050210570842 0.240073141363204 0.543301731268251 0.310340069276576 0.62936838524954 0.290444488989286 0.849628743411438 0.157605172540852 0.676681988694607 0.0612079157132279
"18" "tck" 100 3 512 "NL" 0.05 0 1 0.717149340411963 0.00752534361423418 0.760900697612773 0.00266640588197919 0.442509808603384 0.00249477073110249 0.519709685095296 0.0125091485284753 0.485035727106836 0.0200408658215887 0.497614383073008 0.0293123716226108 0.672235863811466 0.0195991896630948 0.77616617695483 0.0101283080257333
"19" "tck" 100 3 512 "NL" 0.05 0 1 0.533705842004494 0.484134067413746 0.536880424267978 0.398168804848833 0.493609420564945 0.530029903537466 0.534395405576055 0.526377942303503 0.356981762886934 0.584948128247032 0.688002938615749 0.49781336390696 0.527234695839762 0.58163108434476 0.229329542661266 0.625277770737139
"20" "tck" 100 3 512 "NL" 0.05 0 1 0.850472686373345 0.29747573580422 0.895827832118912 0.255818571058243 0.864790619697983 0.376911361160703 0.887721560410515 0.304305388481454 0.920891041388689 0.244238914390502 0.903218272115881 0.212035504293241 0.568262509621082 0.140513896871915 0.430610512052638 0.581065354164466
"21" "tck" 100 3 512 "NL" 0.05 0 1 0.743822250629454 0.0216013027274473 0.654619623029794 0.0364722891372581 0.712456729539766 0.0264934426317179 0.775972446906347 0.0146182604195001 0.830884015217599 0.0213611232693719 0.718812743729641 0.00746778168331463 0.562548565410923 0.018389064535562 0.587795571829079 0.193500012744138
"22" "tck" 100 3 512 "NL" 0.05 0 1 0.586064677363928 0.566880566426427 0.631967318970284 0.568624393569168 0.753279354638463 0.562674117719972 0.821164211214852 0.492632288869146 0.675399307039522 0.304266272037969 0.693395426729676 0.340507915574013 0.695473484387862 0.547199217233101 0.699874025701009 0.990801343269099
"23" "tck" 100 3 512 "NL" 0.05 0 1 0.844156825972965 0.0716239668062886 0.817639334166984 0.0829962125120021 0.850201696456603 0.0746987538187276 0.837615120964944 0.0790804149227076 0.854741087232492 0.0651145367606865 0.821073439976618 0.0677325398379044 0.747925409189337 0.115027887995246 0.451288510494611 0.179961866610426
"24" "tck" 100 3 512 "NL" 0.05 0 1 0.423502818267142 0.0432666727825286 0.353120373416347 0.036578716503457 0.396167355100177 0.0262982591519214 0.516103086500712 0.0361279264864093 0.618010181166611 0.0632343770126689 0.672055794876787 0.0739932880948893 0.468946746081503 0.0976765889642139 0.657800963758325 0.135175494625902
"25" "tck" 100 3 512 "NL" 0.05 0 1 0.0975103340633289 0.0166518632018499 0.100494219936917 0.0335521460854329 0.112070210169195 0.041504290940219 0.083594723486399 0.0234438997521674 0.0956787080955991 0.0373811817639607 0.0737667070505091 0.00666718441214731 0.0851301017930086 0.0301068397990337 0.102201915651081 0.076663245486803
"26" "tck" 100 3 512 "NL" 0.05 0 1 0.10135959932765 0.00656062887137154 0.120298818922638 0.00943240149033309 0.097232279588453 0.00955693988389505 0.111356177520804 0.00453528727527397 0.116936288419898 0.00329480521842296 0.0724536531755253 0.00692294728579301 0.164764566528383 0.00260163985101247 0.296474123788993 0.00573917558312198
"27" "tck" 100 3 512 "NL" 0.05 0 1 0.688119845223062 0.00526740066082598 0.684208896539449 0.00386257937011636 0.613387392794082 0.00552199191659897 0.587728442233287 0.00551825230963043 0.535724520492873 0.00744859071175941 0.589758333586222 0.010726795867539 0.455850253382517 0.00202016816227046 0.907984432256341 0.0630190090516076
"28" "tck" 100 3 512 "NL" 0.05 0 1 0.0670576699090772 0.825072087223787 0.0999184846103923 0.831925388715958 0.0713956843557964 0.877739843247739 0.0687728977574266 0.856388215563135 0.0825767281651584 0.920632202547985 0.106362443444144 0.903106479196145 0.210005303732116 0.909006993470243 0.197120391585793 0.75666035854613
"29" "tck" 100 3 512 "NL" 0.05 0 1 0.191234175229075 0.0046455900479232 0.126038824324703 0.0153667361217864 0.174313097951462 0.0052613860428119 0.35542831651121 0.00771486084736406 0.34689692422331 0.0131418839251151 0.44148318431479 0.00956163398120835 0.308077973926894 0.0111893128821887 0.251375604785455 0.00290418606378184
"30" "tck" 100 3 512 "NL" 0.05 0 1 0.152468781837917 0.168915254702055 0.0937900633349249 0.177912263727368 0.0872179784195641 0.112976837168632 0.0374474134492011 0.126605920856136 0.0384681587474193 0.170833023147026 0.0870381150900619 0.151387755832653 0.0644000046112895 0.110492658126751 0.0686082113772317 0.0891888143087506
"31" "tck" 100 3 512 "NL" 0.05 0 1 0.378997502147763 0.141899314595253 0.440997501579745 0.231124024333718 0.492915406160086 0.226801664484976 0.338614322591403 0.287629023510154 0.268513152656732 0.330073108548341 0.186289674748157 0.592946664245573 0.42858307459358 0.14679734818463 0.990947073910949 0.592222171516256
"32" "tck" 100 3 512 "NL" 0.05 0 1 0.420926311719616 0.249616521191191 0.445502437173291 0.272967570957304 0.3775883191486 0.24441392176293 0.284078707909114 0.246131140389767 0.340900034178938 0.310405411287233 0.277232683435742 0.28852337286545 0.285625578978598 0.11347247514506 0.165882094989606 0.166115421657092
"33" "tck" 100 3 512 "NL" 0.05 0 1 0.415034942986168 0.10498292441526 0.492145059378027 0.102633548968808 0.438780591606225 0.143289928421775 0.557492803910103 0.0994814075327228 0.538260869581558 0.0876737916964332 0.769185961887149 0.135930155659631 0.381741129750461 0.209654003688192 0.136929148385652 0.0888816072641293
